rid,Condition,fake_index,share,share01
5e6d932b-baf8-c074-9d2f-1467407c0029,2,1,5.0,0.8
5e6dd83c-f049-34f5-590c-f709f21ab249,1,1,2.0,0.2
5e6c069c-9025-c59f-9877-d4c359f90032,1,1,1.0,0.0
5e6da94b-6276-191b-69cf-8e7799456711,1,1,1.0,0.0
5e6c8025-d9e0-1a64-d348-c0ba22d7d7c2,1,1,5.0,0.8
5e6d7db4-2a49-31be-f641-ba25ccd4ee93,2,1,5.0,0.8
5e6c27a2-48b0-fb05-84fa-95f6207939a7,1,1,1.0,0.0
5e6cd23b-a4cd-a35e-5e11-e19292a6a715,2,1,1.0,0.0
5e6c3c1b-848b-6f78-d293-70b35cb3ee36,2,1,5.0,0.8
5e6e0d28-0561-ceee-9305-c79e3123ed02,1,1,3.0,0.4
5e6d1697-a706-4c71-ddaf-344c0c50542c,1,1,3.0,0.4
5e6d8a24-1309-24ba-fc42-f41c4ec84f7e,1,1,6.0,1.0
5e6cc9d9-f21c-a734-3c9d-20ca61617ab1,2,1,1.0,0.0
5e6c993e-93cb-edac-73a5-219a73050ce4,1,1,5.0,0.8
5e6c2118-e222-3b63-33ab-07401bcbdd37,1,1,1.0,0.0
5e6d985f-f317-cdba-aad9-fb8ccc9ce2ba,1,1,6.0,1.0
5e6d5a52-6426-50c5-bbf4-cff2eba61a7e,1,1,1.0,0.0
5e6c240f-9762-8c9b-91ce-40375737771b,2,1,2.0,0.2
5e6c2218-03ca-3562-eab5-8340b1466bb6,1,1,6.0,1.0
5e6d2cb2-2c99-ead4-f461-ef67dfe2150e,1,1,6.0,1.0
5e6c9ab8-3fb3-3376-a4f2-2b6e03d24cbb,2,1,1.0,0.0
5e6c38cd-49c0-b9f5-be1d-060801537b97,1,1,6.0,1.0
5e6cefd2-6f67-b02c-76b9-16f220f753f5,2,1,2.0,0.2
5e6ce534-306c-f365-1431-3d4789fffe2d,1,1,4.0,0.6
5e6cd3b5-2bc1-1028-3772-fbce83b3a5ed,1,1,3.0,0.4
5e6d6487-f33c-a4d0-ce4f-65e753e19cfe,1,1,6.0,1.0
5e6c1d7e-2fb2-f926-4b23-576b4b6e30b2,2,1,4.0,0.6
5e6c1d64-8666-a2c0-dcd9-308bddfa6ed1,2,1,2.0,0.2
5e6d14d4-0b97-1425-6a76-1ccc52388fb5,1,1,1.0,0.0
5e6cd5a8-0d1c-7a70-eae2-74305555767e,1,1,4.0,0.6
5e6d878a-2c47-5bbd-6883-f4059c8bc942,1,1,6.0,1.0
