id,Condition,fake_index,share,share01
226053,2.0,1,1.0,0.0
973237,2.0,1,2.0,0.2
634551,2.0,1,1.0,0.0
568089,1.0,1,1.0,0.0
819400,1.0,1,1.0,0.0
936520,1.0,1,1.0,0.0
812226,2.0,1,1.0,0.0
91951,2.0,1,6.0,1.0
365173,1.0,1,3.0,0.4
517770,2.0,1,1.0,0.0
966096,1.0,1,1.0,0.0
261652,2.0,1,1.0,0.0
26541,2.0,1,6.0,1.0
767084,2.0,1,1.0,0.0
583517,2.0,1,6.0,1.0
115309,1.0,1,2.0,0.2
843805,1.0,1,1.0,0.0
699700,2.0,1,4.0,0.6
185888,2.0,1,1.0,0.0
23492,1.0,1,1.0,0.0
109678,1.0,1,1.0,0.0
729320,1.0,1,1.0,0.0
381459,1.0,1,1.0,0.0
860929,1.0,1,2.0,0.2
440600,2.0,1,2.0,0.2
167928,2.0,1,1.0,0.0
40813,1.0,1,1.0,0.0
637140,1.0,1,1.0,0.0
885862,2.0,1,1.0,0.0
967953,2.0,1,4.0,0.6
735239,2.0,1,3.0,0.4
567330,2.0,1,1.0,0.0
639213,1.0,1,5.0,0.8
440267,1.0,1,2.0,0.2
239610,2.0,1,1.0,0.0
713586,2.0,1,1.0,0.0
132259,1.0,1,5.0,0.8
303106,2.0,1,1.0,0.0
330810,1.0,1,1.0,0.0
532856,1.0,1,3.0,0.4
391863,2.0,1,1.0,0.0
714055,1.0,1,2.0,0.2
626053,1.0,1,1.0,0.0
754069,2.0,1,6.0,1.0
675570,1.0,1,4.0,0.6
226565,2.0,1,1.0,0.0
646326,1.0,1,2.0,0.2
107133,1.0,1,6.0,1.0
535552,2.0,1,4.0,0.6
764865,1.0,1,1.0,0.0
46768,1.0,1,1.0,0.0
301404,1.0,1,1.0,0.0
130173,2.0,1,1.0,0.0
748338,1.0,1,1.0,0.0
700646,1.0,1,2.0,0.2
768160,2.0,1,2.0,0.2
456627,2.0,1,4.0,0.6
315067,1.0,1,2.0,0.2
933832,1.0,1,1.0,0.0
878320,2.0,1,1.0,0.0
413974,2.0,1,1.0,0.0
282541,2.0,1,1.0,0.0
22735,1.0,1,2.0,0.2
201905,1.0,1,4.0,0.6
347972,1.0,1,6.0,1.0
633257,1.0,1,4.0,0.6
817957,1.0,1,5.0,0.8
449118,2.0,1,1.0,0.0
