id,Condition,phase,item_id,share,share01
5e9872fda9de710844c3d21a,GoViral,pre,Emotion-2-tripl,1,0.0
5dee571ba484414efbb34ddc,GoViral,pre,Emotion-2-tripl,1,0.0
5ad3c3e63a859300016c6c9e,GoViral,pre,Emotion-2-tripl,1,0.0
5eae02853a693d4bdd5b553b,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5d29c671bc573b00165c9014,Infographics,pre,Emotion-2-tripl,1,0.0
5ca2a84c2461ab0017c41b14,Infographics,pre,Emotion-2-tripl,1,0.0
5eeeb6de6ee5493752b1cdfd,GoViral,pre,Emotion-2-tripl,5,0.6666666666666666
5f491ffe5324cf2ed519375d,GoViral,pre,Emotion-2-tripl,4,0.5
5efd0e2cf2d6f8156e58c89f,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5c770e63a2b09c0001a821cc,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5b8287d12d77d900016fb6be,GoViral,pre,Emotion-2-tripl,1,0.0
5c63efbf571f930001eb2326,Control,pre,Emotion-2-tripl,1,0.0
5b7da2499fcd3c000118f680,GoViral,pre,Emotion-2-tripl,1,0.0
5d3d82ce29130a00195cd74f,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5978eedb30f3ea000122eaf0,Control,pre,Emotion-2-tripl,1,0.0
5f1c4b9e5b420902880d1e98,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5cdef91bf4acd700153ac9db,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5d5549d6d16f760018d0d3bf,GoViral,pre,Emotion-2-tripl,1,0.0
5efdd6331c6b4c0634eaf3b7,Infographics,pre,Emotion-2-tripl,1,0.0
5d11f6b091c008001530d0fb,GoViral,pre,Emotion-2-tripl,1,0.0
5ea18681eeb3d7041ab243fa,GoViral,pre,Emotion-2-tripl,1,0.0
5c9298201bc01a001614b1b0,GoViral,pre,Emotion-2-tripl,1,0.0
5788d6c76cc4450001044358,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5ccc9ace9731e100191422ab,Infographics,pre,Emotion-2-tripl,1,0.0
5f4d150fc7c1d10b8d02664f,Control,pre,Emotion-2-tripl,1,0.0
5aa7e3c1777df200016086ae,Control,pre,Emotion-2-tripl,1,0.0
5c10d344a577d50001bb6127,GoViral,pre,Emotion-2-tripl,5,0.6666666666666666
5ee7dcd80e830a0c4b5c5b18,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5ab3b6cdfa3b4e000172b686,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5e875f6f2e145b3abfb56ff1,Infographics,pre,Emotion-2-tripl,1,0.0
5b12dbf1bd9c31000156cbc1,GoViral,pre,Emotion-2-tripl,1,0.0
5db8ffe349e506000ab230e2,Infographics,pre,Emotion-2-tripl,1,0.0
5ef8bf58eda83205028e0db9,GoViral,pre,Emotion-2-tripl,1,0.0
5cd6d97231d19f0019425948,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5b6acf29219c4700016e016b,Infographics,pre,Emotion-2-tripl,1,0.0
5f3695de519556063ef4cd2d,Infographics,pre,Emotion-2-tripl,1,0.0
5eefc8211f1b2a4c3a1ab38e,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f32a30554a2e308e31e66ff,Infographics,pre,Emotion-2-tripl,1,0.0
5eeb682d164680078f441396,GoViral,pre,Emotion-2-tripl,1,0.0
58fa36995214e3000193281c,Infographics,pre,Emotion-2-tripl,1,0.0
5f7e1601832f230a69dc61a9,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5ecfb797dc64e1028cc510ba,Infographics,pre,Emotion-2-tripl,4,0.5
5867d62ba7f6480001ed980a,Control,pre,Emotion-2-tripl,1,0.0
59308519991e160001eff87a,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5f0cff23422d4f708671217c,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5c00a9e008469c000126e89f,GoViral,pre,Emotion-2-tripl,1,0.0
5ea81666b5f29720424048e8,Infographics,pre,Emotion-2-tripl,1,0.0
5eb554340c06143e826cc8e1,Infographics,pre,Emotion-2-tripl,1,0.0
5e2ecf8ad5947f490c9d0f08,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5c76ee0998566f00018eeb1f,Control,pre,Emotion-2-tripl,1,0.0
5b2ea4ba1d2f710001fb3e28,Infographics,pre,Emotion-2-tripl,1,0.0
5d04f8eecdd60a000178e118,Infographics,pre,Emotion-2-tripl,1,0.0
5f50d4f8d31b8425603d6ca5,GoViral,pre,Emotion-2-tripl,1,0.0
5f1e8eac19a6af01d6ddeed9,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5ef1bb10c673fd7d2d14e439,Control,pre,Emotion-2-tripl,1,0.0
5e8e09d7b1ca640ac2755099,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5f203120a0e03a2c77de98bd,GoViral,pre,Emotion-2-tripl,1,0.0
5f57ec788b332c336a27d51d,Control,pre,Emotion-2-tripl,1,0.0
5ebe945956bdfc202ececb1b,GoViral,pre,Emotion-2-tripl,1,0.0
597330a0415cd40001f0d5e8,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5d53d920713840001ed989a1,GoViral,pre,Emotion-2-tripl,1,0.0
57b4aaf1cda70d0001534838,Control,pre,Emotion-2-tripl,1,0.0
599d881c5aaa4f00018ad0f6,Infographics,pre,Emotion-2-tripl,1,0.0
5f11fb1b816c5510de3bdd10,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5dd47d9ab51b3e47517eea0c,Control,pre,Emotion-2-tripl,1,0.0
5c352f58b96e660001cb6b66,Infographics,pre,Emotion-2-tripl,1,0.0
5eeb6194f53e2c06cfcd3cd0,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5e5c00024b439f3eb41a24d1,GoViral,pre,Emotion-2-tripl,1,0.0
5c57920653fba80001bd3d38,GoViral,pre,Emotion-2-tripl,1,0.0
57c95ec2c6c5ed00013fa343,Control,pre,Emotion-2-tripl,1,0.0
5e8753cc28aacd3abe3bc37a,Infographics,pre,Emotion-2-tripl,5,0.6666666666666666
5eefc8211f1b2a4c3a1ab38e,Infographics,pre,Emotion-2-tripl,1,0.0
5f63e353e5a9ed16680bbecc,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5bda4059ea656500011d5334,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5a1323835d06850001b00673,GoViral,pre,Emotion-2-tripl,4,0.5
5d1b1d232d8715001822bee7,Control,pre,Emotion-2-tripl,1,0.0
5d530ac47f7e0b0016ee8cde,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5f2f3a804b22943238311a8a,Control,pre,Emotion-2-tripl,7,1.0
5f2ac1c530ca04366d8d82b9,GoViral,pre,Emotion-2-tripl,1,0.0
5e07ac6415ef4012834b2b38,Infographics,pre,Emotion-2-tripl,4,0.5
5f2e825e704e4d03d5e17dfe,Infographics,pre,Emotion-2-tripl,1,0.0
5e34a3d7bc8572000a714094,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
57725d2dd8e8880001b2fb13,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f70fb1e3b94db7239601f14,Control,pre,Emotion-2-tripl,1,0.0
5f55fac7d864aa9cea426812,GoViral,pre,Emotion-2-tripl,1,0.0
5f341e191f6b962c72b74899,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5b2dde1da8327d0001ffbcc2,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5d6ebbc2616d6e0019ad82a5,Control,pre,Emotion-2-tripl,1,0.0
5e7e54d45d1c4c0af175e6c7,GoViral,pre,Emotion-2-tripl,1,0.0
5e6686f1ed17a9000e4e747a,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5f4cbdf9f599118d27c21442,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5dc8a1b5b1cdc26104e3f04f,Control,pre,Emotion-2-tripl,1,0.0
5d8252ba7d2c7400173d2674,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5b7e7de287d85f0001bac19a,Infographics,pre,Emotion-2-tripl,1,0.0
5f215ed0456c964f5f1e408d,GoViral,pre,Emotion-2-tripl,1,0.0
5ea9c475ec2b531108f86a3f,Control,pre,Emotion-2-tripl,1,0.0
5994b2ff7c41bc00012e5d12,Control,pre,Emotion-2-tripl,1,0.0
5ed556715b338d0d1597dad9,Control,pre,Emotion-2-tripl,6,0.8333333333333334
5bd02cd408a62c0001f96093,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5e2898430beb030690aa64f6,Control,pre,Emotion-2-tripl,1,0.0
5f95847b1e3ae13e76c2faa8,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5e3499316bf31c46673bfc5c,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f005af1d1911114a7e9dbe4,Infographics,pre,Emotion-2-tripl,1,0.0
59ca5f505e015800019778d0,GoViral,pre,Emotion-2-tripl,1,0.0
568f981a7d961b000c969d2f,Control,pre,Emotion-2-tripl,1,0.0
5ecb88b54e028f715731254f,GoViral,pre,Emotion-2-tripl,1,0.0
57826c6bad1a6c00014659bb,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5eb1237c0abd5e1eac8c52e9,GoViral,pre,Emotion-2-tripl,1,0.0
5a2d43114ed219000159a213,GoViral,pre,Emotion-2-tripl,1,0.0
5f984a1468d96a0e4f60cd36,Infographics,pre,Emotion-2-tripl,1,0.0
5f9df1435eb24e38ad10fcd0,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5e7fa5965e746edd4c951662,Infographics,pre,Emotion-2-tripl,1,0.0
5ec167da731fbc04fafa9b26,Control,pre,Emotion-2-tripl,1,0.0
5ea42a11f6385802cb7e3b1c,Control,pre,Emotion-2-tripl,1,0.0
5e224693c5b1b45273cfecd9,Control,pre,Emotion-2-tripl,1,0.0
5eea1f8b2760f40c6422e6e8,GoViral,pre,Emotion-2-tripl,1,0.0
59d39516d704ba0001fe7dfd,Control,pre,Emotion-2-tripl,1,0.0
5c730ca1f674750001df8d09,GoViral,pre,Emotion-2-tripl,1,0.0
5ee235163a959e2d31a0b521,GoViral,pre,Emotion-2-tripl,1,0.0
5f14210f3cea8245071a9e26,GoViral,pre,Emotion-2-tripl,5,0.6666666666666666
5d1a01b9f9ab2100019e7678,GoViral,pre,Emotion-2-tripl,1,0.0
5e07c976f6191f137214e91f,Control,pre,Emotion-2-tripl,4,0.5
5dd40f2db2204f3ee690f9f9,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f2bb0737b4ac5634b0c6e90,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
59d500bbf35ff40001914d52,Infographics,pre,Emotion-2-tripl,1,0.0
5fa182a5b0a2b2294d1acca6,Infographics,pre,Emotion-2-tripl,1,0.0
5cde8522ec6e1e001740e757,Infographics,pre,Emotion-2-tripl,1,0.0
5e5fc65b2fa0a630d38a4251,Control,pre,Emotion-2-tripl,1,0.0
5f315b1191f3f9621e93ead1,Infographics,pre,Emotion-2-tripl,1,0.0
5f5fcfd070b272088f789ea7,Infographics,pre,Emotion-2-tripl,7,1.0
5d442c09f7386b001a3c2477,Infographics,pre,Emotion-2-tripl,1,0.0
5c61b5da31489a0001fa81c5,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
