id,Condition,item_id,share,share01
5ea8d91d37c777155a965c1a,1,1,2,0.16666666666666666
5ee69bf1ebbfd2420a065289,1,1,1,0.0
5ae3352f8ee5bf00018c9723,2,1,4,0.5
5ee69c554039c841faafb13d,1,1,1,0.0
5e1b9951be8d633cb531644c,1,1,1,0.0
5ee60c59f75744359182a256,1,1,2,0.16666666666666666
5eda1f990d22605e32dc9403,2,1,5,0.6666666666666666
5ee6c849ecd49045280d2ad8,2,1,1,0.0
5edf59510df8e52044020635,1,1,4,0.5
5eaee78326c0ff036119b3d9,2,1,1,0.0
5de32e1c48241d344895b791,1,1,1,0.0
5eda1df96594865efe959f04,2,1,1,0.0
5dd855b982569a7ffaa82935,1,1,1,0.0
5c63288d5b806300011f70c6,1,1,1,0.0
5bdb165fd8b5520001625303,1,1,1,0.0
5e9100e00ef5f70c167833d9,2,1,1,0.0
5ddbea45332b34b21e214d51,2,1,1,0.0
5e886cf053defb4f3992c2ba,1,1,5,0.6666666666666666
5e9b3f02c99dc204077e4fef,1,1,1,0.0
5ee5c0c740c72e30448cfe5a,2,1,4,0.5
5e781af820ab3539e4f2b723,1,1,1,0.0
5a8c98185292b80001233e70,1,1,1,0.0
5d94794a521f890016f93604,1,1,1,0.0
5cf6a38661a4f90015c1b17f,1,1,1,0.0
5aeb7147ff362500013db119,1,1,1,0.0
5ee644b8a00c6d0621d20793,2,1,1,0.0
5e833057c18add048e86d9cb,2,1,4,0.5
5e8f81599b5ff02720c9b7d2,1,1,5,0.6666666666666666
5d226b35d75330001c7a3d95,1,1,1,0.0
5b9ddf04d2599000011038f7,2,1,1,0.0
5ed46c672bfdc23128bdf01a,1,1,2,0.16666666666666666
5e6fe3e20e34ca0aa955b116,2,1,3,0.3333333333333333
59f1d43d24d7bf00012f17f2,1,1,5,0.6666666666666666
5e6d081f1814a42c9b4d23d7,1,1,7,1.0
5e7259b927f38a197716600c,2,1,2,0.16666666666666666
5ea2f7d42ffec1067f945ec8,2,1,1,0.0
5c8b1309fc71aa00167b62e7,1,1,1,0.0
5e3f11804f7c19171b828964,1,1,1,0.0
5e5d641259df370779040d9e,1,1,3,0.3333333333333333
5ec14623eb82d302356805c5,1,1,1,0.0
5ee6b075236bef43886e3a4c,2,1,1,0.0
5ee63c65f7cdbe070a94a605,1,1,6,0.8333333333333334
5e73d63c93f2d234a45eb4b4,2,1,1,0.0
5ee64e85c682de3a880579c6,1,1,1,0.0
5eb736c29640940ba2b1c9b8,2,1,1,0.0
5d0d89f9b8188e0001a52587,2,1,1,0.0
5e6f43c1de13454ec3b5dacb,1,1,1,0.0
5b2bfb37163ead00013fb8b4,2,1,1,0.0
5ee33c7a431cdf879c999bdd,1,1,2,0.16666666666666666
5d4613a2da9cb60001aa4948,2,1,1,0.0
5c51b3a93e4c8400010aed7e,1,1,1,0.0
5ee08605ed48633dba2bb045,1,1,4,0.5
5d5333053c9baa0017522018,1,1,3,0.3333333333333333
5c6ac14d24b8860001add873,1,1,1,0.0
5d44ea38d7d4b80015384976,2,1,1,0.0
5d49eacde8ff8b0017ea2c83,1,1,2,0.16666666666666666
5df6e2d835a7a54c2ff9e0d3,1,1,1,0.0
5dab3c87b56fb70014271f12,1,1,1,0.0
558fe633fdf99b3f6868bf45,1,1,1,0.0
5c30b2a910677f0001dda4c8,1,1,1,0.0
5e667f3bc3f30a4050fc8f2f,2,1,1,0.0
5ee634168976fc391312fdf9,1,1,4,0.5
5ed300fa95ed8f293240a808,1,1,1,0.0
5edb92c9eb30a801668bdd2a,1,1,7,1.0
5e670f5e698a0748f0b4ef04,2,1,2,0.16666666666666666
5d957cf3cb51cf001de42e90,2,1,1,0.0
59f5c7f405d1d60001f14399,2,1,1,0.0
5ea14a3c94b7eb15c7693da7,1,1,1,0.0
5d3758292faa0d0016797c0f,2,1,1,0.0
5ceb9f99b5a9d90019c08b1c,1,1,1,0.0
5d7182191742e10001d5fc94,2,1,1,0.0
5eb812d712bd66022d95f8d7,2,1,1,0.0
5e9b449054b6d8046df16e44,2,1,2,0.16666666666666666
5b707a406f0ed10001bfb973,1,1,1,0.0
5e5e3e701515241582ebe4c8,1,1,1,0.0
5dd7eb4841fb3f785f7ec7c8,1,1,1,0.0
5def36764194415d17f32c5b,2,1,1,0.0
5ed6958a01b3d60d29d025f8,1,1,1,0.0
58f7cdd4c31d4d00015aac83,2,1,1,0.0
5dbf5d7842c5fd40f5bd36e4,1,1,4,0.5
5e3238199202d9218f7ec75b,1,1,1,0.0
5c03df12d183df00014241c3,1,1,3,0.3333333333333333
5e8fd98b3b2ab82d465e56e0,2,1,1,0.0
5befb6e27c387400016983bf,1,1,1,0.0
58db7691f94de20001fbda42,2,1,1,0.0
5e8a5f27f35994098ee9a4aa,1,1,2,0.16666666666666666
5ec7d9910125920829519d00,2,1,1,0.0
5caeb56feb05440017fd4817,2,1,2,0.16666666666666666
55c4ea6dfdf99b4adb996618,2,1,6,0.8333333333333334
5e7d09e7f0a5a00c4a1ccf96,2,1,3,0.3333333333333333
5c5d0c72d697e70001079ca0,1,1,1,0.0
5e8fd89bebbc9e00088e486f,2,1,1,0.0
5ee3ea6c16ad190c29dec76e,2,1,1,0.0
5dcd615b8a577d0343b185be,1,1,1,0.0
5bdcd0de703cd5000103924a,1,1,1,0.0
5ed8f2722f159c0785e46652,1,1,3,0.3333333333333333
5e9fd73f11fd6d18304401bf,1,1,5,0.6666666666666666
5eda1ae12293c4038d336ad3,2,1,5,0.6666666666666666
5e6f275c4acb204e832ad749,1,1,2,0.16666666666666666
5ecbd2d6ae617006fa9e686f,2,1,3,0.3333333333333333
55f244e632af740012170458,1,1,1,0.0
5da5f72c002c29001335b57d,1,1,1,0.0
592e8f3b88f901000167252b,1,1,1,0.0
5ec4224dfa93e02da9010ea1,2,1,1,0.0
5b0c65c11e55760001b96e90,1,1,1,0.0
5e778325dd11e42f3a52dd95,1,1,4,0.5
5ede91223409e112252b62b9,1,1,2,0.16666666666666666
5e7509d11a79d406b856ce8b,1,1,5,0.6666666666666666
5ece4b573a19db032ec1b075,2,1,2,0.16666666666666666
5ee6070140e019022581f7f3,2,1,4,0.5
5ee6d0470bca3245c0da2076,1,1,2,0.16666666666666666
5ee23914559f602d515ae227,2,1,1,0.0
5d9538766b38a90019104f71,1,1,1,0.0
5d3894798bb75200164c557e,2,1,1,0.0
5ee59169fbedfb2dede8cea8,1,1,1,0.0
5c297a144479410001515282,2,1,1,0.0
5ed8ff7a10586d42b06aa368,2,1,5,0.6666666666666666
577d11f88b3e2300016d74a0,2,1,1,0.0
5c4fa169ee5ae100010a2057,1,1,7,1.0
5c72f069cf5c4b000197cc30,1,1,1,0.0
