id,Condition,item_id,share,share01
0,1,Abduction,6.0,0.8333333333333334
3,1,Abduction,3.0,0.3333333333333333
6,2,Abduction,1.0,0.0
9,1,Abduction,1.0,0.0
10,1,Abduction,3.0,0.3333333333333333
11,1,Abduction,1.0,0.0
12,2,Abduction,1.0,0.0
15,2,Abduction,4.0,0.5
17,2,Abduction,5.0,0.6666666666666666
18,1,Abduction,1.0,0.0
20,1,Abduction,5.0,0.6666666666666666
21,2,Abduction,1.0,0.0
25,1,Abduction,1.0,0.0
26,1,Abduction,2.0,0.16666666666666666
33,1,Abduction,1.0,0.0
38,1,Abduction,4.0,0.5
39,1,Abduction,4.0,0.5
40,2,Abduction,1.0,0.0
42,1,Abduction,3.0,0.3333333333333333
43,1,Abduction,1.0,0.0
45,2,Abduction,2.0,0.16666666666666666
48,1,Abduction,2.0,0.16666666666666666
49,2,Abduction,3.0,0.3333333333333333
50,1,Abduction,5.0,0.6666666666666666
51,1,Abduction,1.0,0.0
52,1,Abduction,1.0,0.0
53,1,Abduction,1.0,0.0
54,2,Abduction,4.0,0.5
59,1,Abduction,4.0,0.5
60,2,Abduction,5.0,0.6666666666666666
61,1,Abduction,3.0,0.3333333333333333
62,2,Abduction,4.0,0.5
64,1,Abduction,2.0,0.16666666666666666
65,1,Abduction,4.0,0.5
66,2,Abduction,1.0,0.0
68,1,Abduction,1.0,0.0
70,2,Abduction,3.0,0.3333333333333333
73,2,Abduction,2.0,0.16666666666666666
78,1,Abduction,1.0,0.0
83,2,Abduction,1.0,0.0
85,1,Abduction,3.0,0.3333333333333333
86,2,Abduction,2.0,0.16666666666666666
87,1,Abduction,1.0,0.0
88,1,Abduction,1.0,0.0
90,2,Abduction,1.0,0.0
91,2,Abduction,7.0,1.0
92,1,Abduction,1.0,0.0
98,2,Abduction,4.0,0.5
99,2,Abduction,7.0,1.0
101,1,Abduction,6.0,0.8333333333333334
102,1,Abduction,7.0,1.0
103,1,Abduction,1.0,0.0
106,1,Abduction,5.0,0.6666666666666666
107,2,Abduction,1.0,0.0
108,1,Abduction,7.0,1.0
112,2,Abduction,1.0,0.0
114,1,Abduction,1.0,0.0
116,2,Abduction,6.0,0.8333333333333334
118,2,Abduction,6.0,0.8333333333333334
119,1,Abduction,1.0,0.0
120,1,Abduction,2.0,0.16666666666666666
122,2,Abduction,1.0,0.0
123,1,Abduction,1.0,0.0
125,1,Abduction,1.0,0.0
127,2,Abduction,1.0,0.0
128,2,Abduction,1.0,0.0
129,1,Abduction,3.0,0.3333333333333333
131,2,Abduction,3.0,0.3333333333333333
134,2,Abduction,5.0,0.6666666666666666
135,1,Abduction,5.0,0.6666666666666666
136,1,Abduction,1.0,0.0
142,1,Abduction,1.0,0.0
147,2,Abduction,1.0,0.0
149,1,Abduction,1.0,0.0
150,2,Abduction,2.0,0.16666666666666666
153,2,Abduction,6.0,0.8333333333333334
155,1,Abduction,2.0,0.16666666666666666
156,1,Abduction,1.0,0.0
157,2,Abduction,1.0,0.0
159,1,Abduction,7.0,1.0
161,2,Abduction,1.0,0.0
162,1,Abduction,3.0,0.3333333333333333
166,1,Abduction,4.0,0.5
167,2,Abduction,1.0,0.0
172,2,Abduction,2.0,0.16666666666666666
175,2,Abduction,2.0,0.16666666666666666
179,2,Abduction,7.0,1.0
181,1,Abduction,2.0,0.16666666666666666
182,1,Abduction,1.0,0.0
183,2,Abduction,7.0,1.0
185,1,Abduction,3.0,0.3333333333333333
186,1,Abduction,1.0,0.0
189,2,Abduction,4.0,0.5
191,1,Abduction,1.0,0.0
194,2,Abduction,2.0,0.16666666666666666
196,2,Abduction,1.0,0.0
197,2,Abduction,5.0,0.6666666666666666
198,2,Abduction,4.0,0.5
200,1,Abduction,4.0,0.5
201,1,Abduction,1.0,0.0
207,1,Abduction,2.0,0.16666666666666666
208,1,Abduction,1.0,0.0
212,1,Abduction,1.0,0.0
214,1,Abduction,4.0,0.5
215,1,Abduction,1.0,0.0
217,2,Abduction,5.0,0.6666666666666666
218,1,Abduction,1.0,0.0
219,2,Abduction,3.0,0.3333333333333333
220,1,Abduction,1.0,0.0
223,1,Abduction,1.0,0.0
225,2,Abduction,7.0,1.0
227,1,Abduction,1.0,0.0
229,1,Abduction,2.0,0.16666666666666666
233,1,Abduction,1.0,0.0
234,2,Abduction,6.0,0.8333333333333334
235,1,Abduction,1.0,0.0
237,2,Abduction,3.0,0.3333333333333333
238,2,Abduction,4.0,0.5
239,2,Abduction,5.0,0.6666666666666666
240,2,Abduction,4.0,0.5
241,2,Abduction,1.0,0.0
242,1,Abduction,1.0,0.0
249,1,Abduction,1.0,0.0
250,2,Abduction,4.0,0.5
252,2,Abduction,1.0,0.0
253,2,Abduction,1.0,0.0
254,1,Abduction,1.0,0.0
256,1,Abduction,2.0,0.16666666666666666
261,2,Abduction,1.0,0.0
262,2,Abduction,4.0,0.5
265,1,Abduction,1.0,0.0
268,2,Abduction,5.0,0.6666666666666666
269,1,Abduction,1.0,0.0
271,2,Abduction,3.0,0.3333333333333333
273,1,Abduction,3.0,0.3333333333333333
275,2,Abduction,1.0,0.0
278,2,Abduction,2.0,0.16666666666666666
280,2,Abduction,1.0,0.0
281,1,Abduction,1.0,0.0
287,1,Abduction,7.0,1.0
288,2,Abduction,1.0,0.0
290,2,Abduction,2.0,0.16666666666666666
298,2,Abduction,1.0,0.0
301,1,Abduction,3.0,0.3333333333333333
303,2,Abduction,1.0,0.0
304,2,Abduction,3.0,0.3333333333333333
305,2,Abduction,6.0,0.8333333333333334
306,2,Abduction,1.0,0.0
308,1,Abduction,1.0,0.0
310,2,Abduction,1.0,0.0
312,2,Abduction,4.0,0.5
314,1,Abduction,6.0,0.8333333333333334
316,1,Abduction,1.0,0.0
319,1,Abduction,1.0,0.0
320,2,Abduction,4.0,0.5
323,2,Abduction,1.0,0.0
325,2,Abduction,4.0,0.5
327,1,Abduction,1.0,0.0
329,2,Abduction,7.0,1.0
330,1,Abduction,3.0,0.3333333333333333
331,1,Abduction,1.0,0.0
332,2,Abduction,5.0,0.6666666666666666
334,1,Abduction,1.0,0.0
335,2,Abduction,1.0,0.0
336,2,Abduction,6.0,0.8333333333333334
337,1,Abduction,2.0,0.16666666666666666
339,2,Abduction,2.0,0.16666666666666666
341,1,Abduction,5.0,0.6666666666666666
342,2,Abduction,4.0,0.5
343,1,Abduction,1.0,0.0
346,1,Abduction,6.0,0.8333333333333334
348,1,Abduction,1.0,0.0
350,1,Abduction,1.0,0.0
352,1,Abduction,1.0,0.0
356,2,Abduction,1.0,0.0
360,2,Abduction,1.0,0.0
364,1,Abduction,2.0,0.16666666666666666
365,2,Abduction,5.0,0.6666666666666666
366,2,Abduction,2.0,0.16666666666666666
368,2,Abduction,7.0,1.0
369,2,Abduction,6.0,0.8333333333333334
370,1,Abduction,1.0,0.0
371,2,Abduction,1.0,0.0
372,1,Abduction,1.0,0.0
374,1,Abduction,1.0,0.0
376,2,Abduction,3.0,0.3333333333333333
379,1,Abduction,1.0,0.0
381,1,Abduction,1.0,0.0
394,1,Abduction,1.0,0.0
396,1,Abduction,1.0,0.0
397,1,Abduction,4.0,0.5
400,2,Abduction,1.0,0.0
401,2,Abduction,5.0,0.6666666666666666
403,2,Abduction,7.0,1.0
404,1,Abduction,1.0,0.0
405,2,Abduction,1.0,0.0
407,2,Abduction,2.0,0.16666666666666666
408,2,Abduction,1.0,0.0
409,1,Abduction,1.0,0.0
410,1,Abduction,4.0,0.5
415,2,Abduction,1.0,0.0
416,2,Abduction,1.0,0.0
417,2,Abduction,5.0,0.6666666666666666
418,1,Abduction,1.0,0.0
419,2,Abduction,7.0,1.0
424,1,Abduction,1.0,0.0
425,1,Abduction,2.0,0.16666666666666666
426,1,Abduction,3.0,0.3333333333333333
427,2,Abduction,5.0,0.6666666666666666
429,2,Abduction,4.0,0.5
430,1,Abduction,1.0,0.0
432,1,Abduction,1.0,0.0
433,1,Abduction,5.0,0.6666666666666666
435,2,Abduction,1.0,0.0
436,1,Abduction,3.0,0.3333333333333333
438,2,Abduction,2.0,0.16666666666666666
439,2,Abduction,5.0,0.6666666666666666
440,1,Abduction,2.0,0.16666666666666666
447,2,Abduction,2.0,0.16666666666666666
448,2,Abduction,6.0,0.8333333333333334
449,1,Abduction,2.0,0.16666666666666666
450,1,Abduction,4.0,0.5
453,2,Abduction,4.0,0.5
454,2,Abduction,1.0,0.0
455,1,Abduction,6.0,0.8333333333333334
456,1,Abduction,3.0,0.3333333333333333
458,1,Abduction,1.0,0.0
459,2,Abduction,4.0,0.5
463,1,Abduction,5.0,0.6666666666666666
465,1,Abduction,2.0,0.16666666666666666
466,1,Abduction,1.0,0.0
469,2,Abduction,2.0,0.16666666666666666
472,1,Abduction,1.0,0.0
474,1,Abduction,4.0,0.5
476,2,Abduction,1.0,0.0
478,1,Abduction,1.0,0.0
481,2,Abduction,1.0,0.0
483,2,Abduction,4.0,0.5
484,1,Abduction,2.0,0.16666666666666666
489,1,Abduction,1.0,0.0
490,1,Abduction,1.0,0.0
491,2,Abduction,1.0,0.0
493,1,Abduction,7.0,1.0
494,2,Abduction,7.0,1.0
497,2,Abduction,5.0,0.6666666666666666
500,2,Abduction,4.0,0.5
501,2,Abduction,1.0,0.0
502,2,Abduction,7.0,1.0
504,1,Abduction,1.0,0.0
505,1,Abduction,4.0,0.5
507,2,Abduction,6.0,0.8333333333333334
512,2,Abduction,3.0,0.3333333333333333
513,2,Abduction,4.0,0.5
514,2,Abduction,1.0,0.0
519,1,Abduction,1.0,0.0
520,2,Abduction,2.0,0.16666666666666666
521,2,Abduction,1.0,0.0
522,1,Abduction,2.0,0.16666666666666666
523,1,Abduction,2.0,0.16666666666666666
524,1,Abduction,1.0,0.0
528,2,Abduction,1.0,0.0
529,2,Abduction,1.0,0.0
531,1,Abduction,1.0,0.0
532,2,Abduction,3.0,0.3333333333333333
536,2,Abduction,4.0,0.5
541,1,Abduction,6.0,0.8333333333333334
545,1,Abduction,2.0,0.16666666666666666
548,2,Abduction,1.0,0.0
550,1,Abduction,6.0,0.8333333333333334
552,2,Abduction,1.0,0.0
554,1,Abduction,2.0,0.16666666666666666
555,2,Abduction,6.0,0.8333333333333334
557,2,Abduction,2.0,0.16666666666666666
561,2,Abduction,3.0,0.3333333333333333
562,2,Abduction,1.0,0.0
565,2,Abduction,2.0,0.16666666666666666
567,1,Abduction,1.0,0.0
568,1,Abduction,1.0,0.0
572,2,Abduction,1.0,0.0
573,1,Abduction,2.0,0.16666666666666666
576,2,Abduction,1.0,0.0
577,2,Abduction,1.0,0.0
579,1,Abduction,5.0,0.6666666666666666
580,1,Abduction,4.0,0.5
581,1,Abduction,1.0,0.0
582,2,Abduction,1.0,0.0
586,1,Abduction,7.0,1.0
587,2,Abduction,6.0,0.8333333333333334
590,2,Abduction,1.0,0.0
591,1,Abduction,7.0,1.0
592,1,Abduction,1.0,0.0
593,1,Abduction,5.0,0.6666666666666666
595,1,Abduction,1.0,0.0
596,1,Abduction,4.0,0.5
597,1,Abduction,1.0,0.0
600,2,Abduction,6.0,0.8333333333333334
601,2,Abduction,2.0,0.16666666666666666
604,2,Abduction,4.0,0.5
606,2,Abduction,1.0,0.0
613,1,Abduction,4.0,0.5
615,1,Abduction,1.0,0.0
617,2,Abduction,1.0,0.0
621,1,Abduction,5.0,0.6666666666666666
622,2,Abduction,3.0,0.3333333333333333
623,1,Abduction,1.0,0.0
624,1,Abduction,5.0,0.6666666666666666
626,2,Abduction,1.0,0.0
627,1,Abduction,5.0,0.6666666666666666
628,1,Abduction,1.0,0.0
629,2,Abduction,2.0,0.16666666666666666
630,1,Abduction,1.0,0.0
631,1,Abduction,1.0,0.0
