id,Condition,item_id,share,share01
3.0,FactChecker,1,3.0,0.4
3.0,FactChecker,2,2.0,0.2
3.0,FactChecker,3,3.0,0.4
3.0,FactChecker,4,1.0,0.0
3.0,FactChecker,5,1.0,0.0
3.0,FactChecker,6,3.0,0.4
3.0,FactChecker,7,1.0,0.0
3.0,FactChecker,8,1.0,0.0
3.0,FactChecker,9,1.0,0.0
3.0,FactChecker,10,1.0,0.0
3.0,FactChecker,11,1.0,0.0
3.0,FactChecker,12,1.0,0.0
4.0,FactChecker,1,6.0,1.0
4.0,FactChecker,2,3.0,0.4
4.0,FactChecker,3,6.0,1.0
4.0,FactChecker,4,5.0,0.8
4.0,FactChecker,5,6.0,1.0
4.0,FactChecker,6,1.0,0.0
4.0,FactChecker,7,4.0,0.6
4.0,FactChecker,8,2.0,0.2
4.0,FactChecker,9,2.0,0.2
4.0,FactChecker,10,4.0,0.6
4.0,FactChecker,11,1.0,0.0
4.0,FactChecker,12,3.0,0.4
5.0,Baseline,1,1.0,0.0
5.0,Baseline,2,1.0,0.0
5.0,Baseline,3,1.0,0.0
5.0,Baseline,4,1.0,0.0
5.0,Baseline,5,1.0,0.0
5.0,Baseline,6,1.0,0.0
5.0,Baseline,7,1.0,0.0
5.0,Baseline,8,1.0,0.0
5.0,Baseline,9,1.0,0.0
5.0,Baseline,10,1.0,0.0
5.0,Baseline,11,1.0,0.0
5.0,Baseline,12,1.0,0.0
7.0,Baseline,1,1.0,0.0
7.0,Baseline,2,1.0,0.0
7.0,Baseline,3,1.0,0.0
7.0,Baseline,4,1.0,0.0
7.0,Baseline,5,1.0,0.0
7.0,Baseline,6,1.0,0.0
7.0,Baseline,7,1.0,0.0
7.0,Baseline,8,4.0,0.6
7.0,Baseline,9,1.0,0.0
7.0,Baseline,10,1.0,0.0
7.0,Baseline,11,4.0,0.6
7.0,Baseline,12,1.0,0.0
8.0,FactChecker,1,1.0,0.0
8.0,FactChecker,2,1.0,0.0
8.0,FactChecker,3,6.0,1.0
8.0,FactChecker,4,6.0,1.0
8.0,FactChecker,5,1.0,0.0
8.0,FactChecker,6,1.0,0.0
8.0,FactChecker,7,6.0,1.0
8.0,FactChecker,8,6.0,1.0
8.0,FactChecker,9,1.0,0.0
8.0,FactChecker,10,1.0,0.0
8.0,FactChecker,11,1.0,0.0
8.0,FactChecker,12,6.0,1.0
9.0,Laypeople,1,6.0,1.0
9.0,Laypeople,2,6.0,1.0
9.0,Laypeople,3,6.0,1.0
9.0,Laypeople,4,6.0,1.0
9.0,Laypeople,5,6.0,1.0
9.0,Laypeople,6,6.0,1.0
9.0,Laypeople,7,1.0,0.0
9.0,Laypeople,8,6.0,1.0
9.0,Laypeople,9,3.0,0.4
9.0,Laypeople,10,6.0,1.0
9.0,Laypeople,11,6.0,1.0
9.0,Laypeople,12,6.0,1.0
10.0,Baseline,1,1.0,0.0
10.0,Baseline,2,1.0,0.0
10.0,Baseline,3,1.0,0.0
10.0,Baseline,4,1.0,0.0
10.0,Baseline,5,1.0,0.0
10.0,Baseline,6,1.0,0.0
10.0,Baseline,7,1.0,0.0
10.0,Baseline,8,1.0,0.0
10.0,Baseline,9,1.0,0.0
10.0,Baseline,10,1.0,0.0
10.0,Baseline,11,1.0,0.0
10.0,Baseline,12,1.0,0.0
12.0,Laypeople,1,1.0,0.0
12.0,Laypeople,2,1.0,0.0
12.0,Laypeople,3,1.0,0.0
12.0,Laypeople,4,1.0,0.0
12.0,Laypeople,5,1.0,0.0
12.0,Laypeople,6,1.0,0.0
12.0,Laypeople,7,1.0,0.0
12.0,Laypeople,8,1.0,0.0
12.0,Laypeople,9,1.0,0.0
12.0,Laypeople,10,1.0,0.0
12.0,Laypeople,11,1.0,0.0
12.0,Laypeople,12,1.0,0.0
13.0,Laypeople,1,1.0,0.0
13.0,Laypeople,2,1.0,0.0
13.0,Laypeople,3,1.0,0.0
13.0,Laypeople,4,1.0,0.0
13.0,Laypeople,5,1.0,0.0
13.0,Laypeople,6,1.0,0.0
13.0,Laypeople,7,1.0,0.0
13.0,Laypeople,8,1.0,0.0
13.0,Laypeople,9,1.0,0.0
13.0,Laypeople,10,1.0,0.0
13.0,Laypeople,11,1.0,0.0
13.0,Laypeople,12,1.0,0.0
17.0,FactChecker,1,6.0,1.0
17.0,FactChecker,2,6.0,1.0
17.0,FactChecker,3,6.0,1.0
17.0,FactChecker,4,6.0,1.0
17.0,FactChecker,5,6.0,1.0
17.0,FactChecker,6,6.0,1.0
17.0,FactChecker,7,6.0,1.0
17.0,FactChecker,8,6.0,1.0
17.0,FactChecker,9,6.0,1.0
17.0,FactChecker,10,6.0,1.0
17.0,FactChecker,11,6.0,1.0
17.0,FactChecker,12,6.0,1.0
19.0,FactChecker,1,4.0,0.6
19.0,FactChecker,2,4.0,0.6
19.0,FactChecker,3,5.0,0.8
19.0,FactChecker,4,4.0,0.6
19.0,FactChecker,5,4.0,0.6
19.0,FactChecker,6,6.0,1.0
19.0,FactChecker,7,4.0,0.6
19.0,FactChecker,8,4.0,0.6
19.0,FactChecker,9,4.0,0.6
19.0,FactChecker,10,4.0,0.6
19.0,FactChecker,11,4.0,0.6
19.0,FactChecker,12,4.0,0.6
20.0,Laypeople,1,1.0,0.0
20.0,Laypeople,2,1.0,0.0
20.0,Laypeople,3,1.0,0.0
20.0,Laypeople,4,1.0,0.0
20.0,Laypeople,5,1.0,0.0
20.0,Laypeople,6,1.0,0.0
20.0,Laypeople,7,1.0,0.0
20.0,Laypeople,8,1.0,0.0
20.0,Laypeople,9,2.0,0.2
20.0,Laypeople,10,1.0,0.0
20.0,Laypeople,11,1.0,0.0
20.0,Laypeople,12,1.0,0.0
25.0,Baseline,1,5.0,0.8
25.0,Baseline,2,6.0,1.0
25.0,Baseline,3,5.0,0.8
25.0,Baseline,4,5.0,0.8
25.0,Baseline,5,5.0,0.8
25.0,Baseline,6,6.0,1.0
25.0,Baseline,7,5.0,0.8
25.0,Baseline,8,5.0,0.8
25.0,Baseline,9,6.0,1.0
25.0,Baseline,10,6.0,1.0
25.0,Baseline,11,5.0,0.8
25.0,Baseline,12,4.0,0.6
26.0,FactChecker,1,1.0,0.0
26.0,FactChecker,2,5.0,0.8
26.0,FactChecker,3,3.0,0.4
26.0,FactChecker,4,5.0,0.8
26.0,FactChecker,5,2.0,0.2
26.0,FactChecker,6,6.0,1.0
26.0,FactChecker,7,2.0,0.2
26.0,FactChecker,8,4.0,0.6
26.0,FactChecker,9,1.0,0.0
26.0,FactChecker,10,4.0,0.6
26.0,FactChecker,11,4.0,0.6
26.0,FactChecker,12,1.0,0.0
27.0,FactChecker,1,4.0,0.6
27.0,FactChecker,2,4.0,0.6
27.0,FactChecker,3,4.0,0.6
27.0,FactChecker,4,4.0,0.6
27.0,FactChecker,5,3.0,0.4
27.0,FactChecker,6,3.0,0.4
27.0,FactChecker,7,3.0,0.4
27.0,FactChecker,8,3.0,0.4
27.0,FactChecker,9,4.0,0.6
27.0,FactChecker,10,3.0,0.4
27.0,FactChecker,11,3.0,0.4
27.0,FactChecker,12,3.0,0.4
28.0,Laypeople,1,6.0,1.0
28.0,Laypeople,2,2.0,0.2
28.0,Laypeople,3,5.0,0.8
28.0,Laypeople,4,4.0,0.6
28.0,Laypeople,5,5.0,0.8
28.0,Laypeople,6,2.0,0.2
28.0,Laypeople,7,2.0,0.2
28.0,Laypeople,8,3.0,0.4
28.0,Laypeople,9,3.0,0.4
28.0,Laypeople,10,2.0,0.2
28.0,Laypeople,11,3.0,0.4
28.0,Laypeople,12,1.0,0.0
29.0,Baseline,1,1.0,0.0
29.0,Baseline,2,1.0,0.0
29.0,Baseline,3,1.0,0.0
29.0,Baseline,4,1.0,0.0
29.0,Baseline,5,1.0,0.0
29.0,Baseline,6,1.0,0.0
29.0,Baseline,7,5.0,0.8
29.0,Baseline,8,1.0,0.0
29.0,Baseline,9,5.0,0.8
29.0,Baseline,10,3.0,0.4
29.0,Baseline,11,1.0,0.0
29.0,Baseline,12,1.0,0.0
30.0,FactChecker,1,1.0,0.0
30.0,FactChecker,2,1.0,0.0
30.0,FactChecker,3,1.0,0.0
30.0,FactChecker,4,1.0,0.0
30.0,FactChecker,5,1.0,0.0
30.0,FactChecker,6,1.0,0.0
30.0,FactChecker,7,1.0,0.0
30.0,FactChecker,8,1.0,0.0
30.0,FactChecker,9,1.0,0.0
30.0,FactChecker,10,1.0,0.0
30.0,FactChecker,11,1.0,0.0
30.0,FactChecker,12,1.0,0.0
31.0,Baseline,1,1.0,0.0
31.0,Baseline,2,1.0,0.0
31.0,Baseline,3,1.0,0.0
31.0,Baseline,4,1.0,0.0
31.0,Baseline,5,1.0,0.0
31.0,Baseline,6,1.0,0.0
31.0,Baseline,7,1.0,0.0
31.0,Baseline,8,1.0,0.0
31.0,Baseline,9,1.0,0.0
31.0,Baseline,10,1.0,0.0
31.0,Baseline,11,1.0,0.0
31.0,Baseline,12,1.0,0.0
32.0,Laypeople,1,1.0,0.0
32.0,Laypeople,2,3.0,0.4
32.0,Laypeople,3,1.0,0.0
32.0,Laypeople,4,4.0,0.6
32.0,Laypeople,5,3.0,0.4
32.0,Laypeople,6,1.0,0.0
32.0,Laypeople,7,2.0,0.2
32.0,Laypeople,8,1.0,0.0
32.0,Laypeople,9,1.0,0.0
32.0,Laypeople,10,1.0,0.0
32.0,Laypeople,11,1.0,0.0
32.0,Laypeople,12,1.0,0.0
33.0,Baseline,1,5.0,0.8
33.0,Baseline,2,6.0,1.0
33.0,Baseline,3,3.0,0.4
33.0,Baseline,4,5.0,0.8
33.0,Baseline,5,5.0,0.8
33.0,Baseline,6,6.0,1.0
33.0,Baseline,7,5.0,0.8
33.0,Baseline,8,4.0,0.6
33.0,Baseline,9,4.0,0.6
33.0,Baseline,10,5.0,0.8
33.0,Baseline,11,6.0,1.0
33.0,Baseline,12,5.0,0.8
34.0,FactChecker,1,4.0,0.6
34.0,FactChecker,2,3.0,0.4
34.0,FactChecker,3,3.0,0.4
34.0,FactChecker,4,4.0,0.6
34.0,FactChecker,5,5.0,0.8
34.0,FactChecker,6,4.0,0.6
34.0,FactChecker,7,2.0,0.2
34.0,FactChecker,8,5.0,0.8
34.0,FactChecker,9,4.0,0.6
34.0,FactChecker,10,4.0,0.6
34.0,FactChecker,11,5.0,0.8
34.0,FactChecker,12,5.0,0.8
38.0,FactChecker,1,2.0,0.2
38.0,FactChecker,2,2.0,0.2
38.0,FactChecker,3,3.0,0.4
38.0,FactChecker,4,4.0,0.6
38.0,FactChecker,5,5.0,0.8
38.0,FactChecker,6,3.0,0.4
38.0,FactChecker,7,2.0,0.2
38.0,FactChecker,8,1.0,0.0
38.0,FactChecker,9,1.0,0.0
38.0,FactChecker,10,1.0,0.0
38.0,FactChecker,11,1.0,0.0
38.0,FactChecker,12,1.0,0.0
39.0,Baseline,1,1.0,0.0
39.0,Baseline,2,1.0,0.0
39.0,Baseline,3,1.0,0.0
39.0,Baseline,4,1.0,0.0
39.0,Baseline,5,1.0,0.0
39.0,Baseline,6,1.0,0.0
39.0,Baseline,7,1.0,0.0
39.0,Baseline,8,1.0,0.0
39.0,Baseline,9,1.0,0.0
39.0,Baseline,10,1.0,0.0
39.0,Baseline,11,1.0,0.0
39.0,Baseline,12,1.0,0.0
40.0,Laypeople,1,1.0,0.0
40.0,Laypeople,2,1.0,0.0
40.0,Laypeople,3,1.0,0.0
40.0,Laypeople,4,1.0,0.0
40.0,Laypeople,5,1.0,0.0
40.0,Laypeople,6,2.0,0.2
40.0,Laypeople,7,5.0,0.8
40.0,Laypeople,8,6.0,1.0
40.0,Laypeople,9,5.0,0.8
40.0,Laypeople,10,5.0,0.8
40.0,Laypeople,11,5.0,0.8
40.0,Laypeople,12,3.0,0.4
41.0,Baseline,1,1.0,0.0
41.0,Baseline,2,6.0,1.0
41.0,Baseline,3,1.0,0.0
41.0,Baseline,4,1.0,0.0
41.0,Baseline,5,1.0,0.0
41.0,Baseline,6,5.0,0.8
41.0,Baseline,7,6.0,1.0
41.0,Baseline,8,3.0,0.4
41.0,Baseline,9,6.0,1.0
41.0,Baseline,10,1.0,0.0
41.0,Baseline,11,5.0,0.8
41.0,Baseline,12,1.0,0.0
42.0,Baseline,1,5.0,0.8
42.0,Baseline,2,4.0,0.6
42.0,Baseline,3,5.0,0.8
42.0,Baseline,4,5.0,0.8
42.0,Baseline,5,5.0,0.8
42.0,Baseline,6,6.0,1.0
42.0,Baseline,7,4.0,0.6
42.0,Baseline,8,6.0,1.0
42.0,Baseline,9,6.0,1.0
42.0,Baseline,10,5.0,0.8
42.0,Baseline,11,5.0,0.8
42.0,Baseline,12,4.0,0.6
43.0,FactChecker,1,1.0,0.0
43.0,FactChecker,2,1.0,0.0
43.0,FactChecker,3,1.0,0.0
43.0,FactChecker,4,1.0,0.0
43.0,FactChecker,5,1.0,0.0
43.0,FactChecker,6,1.0,0.0
43.0,FactChecker,7,1.0,0.0
43.0,FactChecker,8,1.0,0.0
43.0,FactChecker,9,1.0,0.0
43.0,FactChecker,10,1.0,0.0
43.0,FactChecker,11,1.0,0.0
43.0,FactChecker,12,1.0,0.0
44.0,Baseline,1,4.0,0.6
44.0,Baseline,2,5.0,0.8
44.0,Baseline,3,5.0,0.8
44.0,Baseline,4,4.0,0.6
44.0,Baseline,5,4.0,0.6
44.0,Baseline,6,5.0,0.8
44.0,Baseline,7,4.0,0.6
44.0,Baseline,8,4.0,0.6
44.0,Baseline,9,5.0,0.8
44.0,Baseline,10,5.0,0.8
44.0,Baseline,11,5.0,0.8
44.0,Baseline,12,3.0,0.4
45.0,Baseline,1,6.0,1.0
45.0,Baseline,2,5.0,0.8
45.0,Baseline,3,5.0,0.8
45.0,Baseline,4,6.0,1.0
45.0,Baseline,5,5.0,0.8
45.0,Baseline,6,5.0,0.8
45.0,Baseline,7,6.0,1.0
45.0,Baseline,8,6.0,1.0
45.0,Baseline,9,6.0,1.0
45.0,Baseline,10,6.0,1.0
45.0,Baseline,11,5.0,0.8
45.0,Baseline,12,5.0,0.8
46.0,FactChecker,1,1.0,0.0
46.0,FactChecker,2,1.0,0.0
46.0,FactChecker,3,1.0,0.0
46.0,FactChecker,4,1.0,0.0
46.0,FactChecker,5,1.0,0.0
46.0,FactChecker,6,1.0,0.0
46.0,FactChecker,7,1.0,0.0
