id,Condition,item_id,share,share01
222544,1,1,0.0,0.0
896195,2,1,0.0,0.0
208041,2,1,0.0,0.0
57525,1,1,0.0,0.0
211459,1,1,0.0,0.0
465932,2,1,0.0,0.0
662037,2,1,0.0,0.0
83030,1,1,1.0,1.0
69913,1,1,1.0,1.0
944019,1,1,0.0,0.0
857491,3,1,0.0,0.0
557571,1,1,0.0,0.0
475143,3,1,0.0,0.0
138595,3,1,1.0,1.0
311178,3,1,0.0,0.0
598619,1,1,0.0,0.0
115290,3,1,0.0,0.0
586576,1,1,0.0,0.0
620351,3,1,0.0,0.0
754941,2,1,1.0,1.0
489044,3,1,0.0,0.0
353632,2,1,0.0,0.0
352596,1,1,1.0,1.0
692450,1,1,0.0,0.0
151088,2,1,0.0,0.0
575954,2,1,0.0,0.0
873327,2,1,0.0,0.0
719641,1,1,1.0,1.0
203700,2,1,0.0,0.0
820756,3,1,1.0,1.0
902593,3,1,0.0,0.0
795038,3,1,0.0,0.0
349090,3,1,1.0,1.0
216175,1,1,0.0,0.0
12258,1,1,0.0,0.0
838864,2,1,0.0,0.0
80906,2,1,1.0,1.0
186947,3,1,0.0,0.0
99521,2,1,0.0,0.0
503908,2,1,0.0,0.0
663223,1,1,1.0,1.0
550931,2,1,1.0,1.0
69464,1,1,0.0,0.0
497587,2,1,0.0,0.0
162380,2,1,1.0,1.0
737013,1,1,1.0,1.0
765160,1,1,0.0,0.0
801246,3,1,0.0,0.0
928121,3,1,0.0,0.0
434949,2,1,1.0,1.0
930112,2,1,0.0,0.0
855830,1,1,1.0,1.0
918697,1,1,0.0,0.0
562382,2,1,0.0,0.0
88698,1,1,0.0,0.0
255587,3,1,1.0,1.0
915426,3,1,0.0,0.0
656348,1,1,0.0,0.0
629094,1,1,0.0,0.0
68441,1,1,0.0,0.0
559524,3,1,1.0,1.0
178948,2,1,0.0,0.0
340120,2,1,0.0,0.0
119446,1,1,0.0,0.0
679811,1,1,1.0,1.0
505228,1,1,0.0,0.0
269822,3,1,0.0,0.0
628355,1,1,0.0,0.0
753579,3,1,0.0,0.0
577541,2,1,0.0,0.0
2463,1,1,0.0,0.0
572525,1,1,0.0,0.0
238018,1,1,0.0,0.0
993319,3,1,0.0,0.0
830113,2,1,0.0,0.0
786315,1,1,0.0,0.0
859367,3,1,0.0,0.0
122334,1,1,0.0,0.0
737130,3,1,0.0,0.0
140954,1,1,0.0,0.0
37013,3,1,0.0,0.0
159384,2,1,0.0,0.0
153654,1,1,0.0,0.0
465536,1,1,1.0,1.0
982834,1,1,0.0,0.0
529271,3,1,0.0,0.0
746781,3,1,0.0,0.0
820713,1,1,0.0,0.0
217772,2,1,0.0,0.0
954732,1,1,0.0,0.0
710578,3,1,0.0,0.0
233530,1,1,0.0,0.0
596294,1,1,0.0,0.0
955099,2,1,0.0,0.0
738719,3,1,0.0,0.0
575366,3,1,0.0,0.0
628904,3,1,0.0,0.0
766675,3,1,0.0,0.0
754566,1,1,1.0,1.0
936109,1,1,0.0,0.0
433762,2,1,0.0,0.0
358290,1,1,0.0,0.0
524670,2,1,0.0,0.0
244339,1,1,1.0,1.0
606856,3,1,0.0,0.0
100084,1,1,0.0,0.0
84675,3,1,0.0,0.0
759164,2,1,0.0,0.0
294131,2,1,0.0,0.0
843825,1,1,0.0,0.0
137161,2,1,0.0,0.0
379310,3,1,1.0,1.0
320247,1,1,0.0,0.0
898274,2,1,0.0,0.0
734459,2,1,0.0,0.0
210000,2,1,0.0,0.0
212153,2,1,0.0,0.0
846397,3,1,0.0,0.0
534655,3,1,1.0,1.0
321571,1,1,0.0,0.0
801585,1,1,0.0,0.0
119254,1,1,0.0,0.0
377149,1,1,0.0,0.0
341969,3,1,0.0,0.0
678055,1,1,1.0,1.0
649248,1,1,1.0,1.0
887478,2,1,1.0,1.0
75092,2,1,0.0,0.0
45832,1,1,0.0,0.0
771642,1,1,0.0,0.0
426568,2,1,0.0,0.0
38409,3,1,0.0,0.0
451596,3,1,0.0,0.0
142516,3,1,0.0,0.0
610288,3,1,0.0,0.0
13759,1,1,0.0,0.0
205809,1,1,0.0,0.0
359731,3,1,0.0,0.0
766792,2,1,0.0,0.0
741828,3,1,0.0,0.0
591935,2,1,0.0,0.0
391980,2,1,0.0,0.0
446673,2,1,0.0,0.0
598786,1,1,0.0,0.0
192003,3,1,0.0,0.0
320734,3,1,0.0,0.0
791625,2,1,0.0,0.0
378437,2,1,0.0,0.0
841911,1,1,1.0,1.0
516605,3,1,0.0,0.0
631621,1,1,0.0,0.0
1208,3,1,0.0,0.0
699403,3,1,0.0,0.0
943248,2,1,0.0,0.0
86135,1,1,0.0,0.0
550440,2,1,0.0,0.0
680222,3,1,1.0,1.0
586160,2,1,0.0,0.0
485386,3,1,0.0,0.0
844772,1,1,0.0,0.0
241528,1,1,1.0,1.0
664787,1,1,0.0,0.0
525067,3,1,0.0,0.0
44287,3,1,0.0,0.0
